,v1,v2,latitude,longitude,degradation_state
16700,23-011406,15-1-17873,-17.405,178.879,
16701,23-002408,15-1-17940,-17.489,178.145,4
16702,23-016569,15-4-10781,-17.498,178.738,
16703,23-006979,15-4-10780,-17.553,178.377,
16704,23-000191,,-17.593,178.105,#N/A
16705,23-012760,15-1-17935,-17.83,178.158,
16706,23-003390,15-1-17933,-17.839,178.494,1
16707,23-010425,,-17.855,178.698,#N/A
16708,23-000331,15-1-17932,-17.946,178.71,1
16709,23-004108,15-1-17929,-17.87,178.8,
16710,23-004033,15-1-17884,-17.049,178.958,
16711,23-006497,15-1-17870,-17.114,178.703,
16712,23-007173,15-1-17871,-17.177,178.718,
16713,23-012792,15-1-17872,-17.308,178.586,
16714,23-011406,15-1-17873,-17.405,178.879,
16715,23-002408,15-1-17940,-17.489,178.145,4
16716,23-016569,15-4-10781,-17.498,178.738,
16717,23-006979,15-4-10780,-17.553,178.377,
16718,23-000191,,-17.593,178.105,#N/A
16719,23-012760,15-1-17935,-17.83,178.158,
16720,23-003390,15-1-17933,-17.839,178.494,1
16721,23-010425,,-17.855,178.698,#N/A
16722,23-000331,15-1-17932,-17.946,178.71,1
16723,23-004108,15-1-17929,-17.87,178.8,
16724,23-004033,15-1-17884,-17.049,178.958,
16725,23-006497,15-1-17870,-17.114,178.703,
16726,23-007173,15-1-17871,-17.177,178.718,
16727,23-012792,15-1-17872,-17.308,178.586,
16728,23-011406,15-1-17873,-17.405,178.879,
16729,23-002408,15-1-17940,-17.489,178.145,4
16730,23-016569,15-4-10781,-17.498,178.738,
16731,23-006979,15-4-10780,-17.553,178.377,
16732,23-000191,,-17.593,178.105,#N/A
16733,23-012760,15-1-17935,-17.83,178.158,
16734,23-003390,15-1-17933,-17.839,178.494,1
16735,23-010425,,-17.855,178.698,#N/A
16736,23-000331,15-1-17932,-17.946,178.71,1
16737,23-004108,15-1-17929,-17.87,178.8,
16738,23-004033,15-1-17884,-17.049,178.958,
16739,23-006497,15-1-17870,-17.114,178.703,
16740,23-007173,15-1-17871,-17.177,178.718,
16741,23-012792,15-1-17872,-17.308,178.586,
16742,23-011406,15-1-17873,-17.405,178.879,
16743,23-002408,15-1-17940,-17.489,178.145,4
16744,23-016569,15-4-10781,-17.498,178.738,
16745,23-006979,15-4-10780,-17.553,178.377,
16746,23-000191,,-17.593,178.105,#N/A
16747,23-012760,15-1-17935,-17.83,178.158,
16748,23-003390,15-1-17933,-17.839,178.494,1
16749,23-010425,,-17.855,178.698,#N/A
16750,23-000331,15-1-17932,-17.946,178.71,1
16751,23-004108,15-1-17929,-17.87,178.8,
16752,17-000966,03-1-08815,-18.242,-101.341,
16753,17-005543,03-1-08814,-18.253,-101.153,
16754,17-004451,03-4-10393,-18.292,-101.564,
16755,17-002255,03-1-08817,-18.372,-101.649,
16756,17-003595,03-1-08813,-18.428,-101.219,
16757,17-000504,03-1-08819,-18.474,-101.715,4
16758,17-005259,03-1-08822,-18.523,-101.423,
16759,17-002152,03-1-08816,-18.602,-101.462,
16760,17-003030,03-1-08820,-18.607,-101.863,
16761,17-002121,03-1-08812,-18.695,-101.152,
16762,17-000966,03-1-08815,-18.242,-101.341,
16763,17-005543,03-1-08814,-18.253,-101.153,
16764,17-004451,03-4-10393,-18.292,-101.564,
16765,17-002255,03-1-08817,-18.372,-101.649,
16766,17-003595,03-1-08813,-18.428,-101.219,
16767,17-000504,03-1-08819,-18.474,-101.715,4
16768,17-005259,03-1-08822,-18.523,-101.423,
16769,17-002152,03-1-08816,-18.602,-101.462,
16770,17-003030,03-1-08820,-18.607,-101.863,
16771,17-002121,03-1-08812,-18.695,-101.152,
16772,17-000966,03-1-08815,-18.242,-101.341,
16773,17-005543,03-1-08814,-18.253,-101.153,
16774,17-004451,03-4-10393,-18.292,-101.564,
16775,17-002255,03-1-08817,-18.372,-101.649,
16776,17-003595,03-1-08813,-18.428,-101.219,
16777,17-000504,03-1-08819,-18.474,-101.715,4
16778,17-005259,03-1-08822,-18.523,-101.423,
16779,17-002152,03-1-08816,-18.602,-101.462,
16780,17-003030,03-1-08820,-18.607,-101.863,
16781,17-002121,03-1-08812,-18.695,-101.152,
16782,17-000966,03-1-08815,-18.242,-101.341,
16783,17-005543,03-1-08814,-18.253,-101.153,
16784,17-004451,03-4-10393,-18.292,-101.564,
16785,17-002255,03-1-08817,-18.372,-101.649,
16786,17-003595,03-1-08813,-18.428,-101.219,
16787,17-000504,03-1-08819,-18.474,-101.715,4
16788,17-005259,03-1-08822,-18.523,-101.423,
16789,17-002152,03-1-08816,-18.602,-101.462,
16790,17-003030,03-1-08820,-18.607,-101.863,
16791,17-002121,03-1-08812,-18.695,-101.152,
16792,17-004400,,-18.009,-102.887,#N/A
16793,17-005463,03-4-10252,-18.156,-102.7,
16794,17-000753,03-1-08826,-18.22,-102.807,4
16795,17-003641,03-1-08827,-18.319,-102.584,
16796,17-001518,03-1-08824,-18.581,-102.306,
16797,17-001189,03-1-08825,-18.7,-102.634,
16798,17-003716,03-1-08823,-18.862,-102.26,
16799,17-001988,03-1-08832,-18.929,-102.584,
16800,17-004400,,-18.009,-102.887,#N/A
16801,17-005463,03-4-10252,-18.156,-102.7,
16802,17-000753,03-1-08826,-18.22,-102.807,4
16803,17-003641,03-1-08827,-18.319,-102.584,
