,v1,v2,latitude,longitude,degradation_state
0,17-003271,03-4-04220,-10.052,-99.315,
1,17-005729,03-4-04282,-10.213,-99.16,
2,17-005448,03-4-04280,-10.574,-99.158,
3,17-001052,03-1-03466,-10.615,-99.907,
4,17-004009,03-4-04286,-10.804,-99.916,
5,17-001403,03-1-03464,-10.854,-99.079,
6,17-000675,03-1-03465,-10.89,-99.726,4
7,17-003271,03-4-04220,-10.052,-99.315,
8,17-005729,03-4-04282,-10.213,-99.16,
9,17-005448,03-4-04280,-10.574,-99.158,
10,17-001052,03-1-03466,-10.615,-99.907,
11,17-004009,03-4-04286,-10.804,-99.916,
12,17-001403,03-1-03464,-10.854,-99.079,
13,17-000675,03-1-03465,-10.89,-99.726,4
14,17-003271,03-4-04220,-10.052,-99.315,
15,17-005729,03-4-04282,-10.213,-99.16,
16,17-005448,03-4-04280,-10.574,-99.158,
17,17-001052,03-1-03466,-10.615,-99.907,
18,17-004009,03-4-04286,-10.804,-99.916,
19,17-001403,03-1-03464,-10.854,-99.079,
20,17-000675,03-1-03465,-10.89,-99.726,4
21,17-003271,03-4-04220,-10.052,-99.315,
22,17-005729,03-4-04282,-10.213,-99.16,
23,17-005448,03-4-04280,-10.574,-99.158,
24,17-001052,03-1-03466,-10.615,-99.907,
25,17-004009,03-4-04286,-10.804,-99.916,
26,17-001403,03-1-03464,-10.854,-99.079,
27,17-000675,03-1-03465,-10.89,-99.726,4
28,17-005669,03-4-04191,-10.013,-103.649,
29,17-001318,03-1-03484,-10.071,-103.707,
30,17-003763,03-1-03483,-10.08,-103.575,
31,17-004351,03-4-04323,-10.232,-103.53,
32,17-001998,03-4-04324,-10.401,-103.501,
33,17-004897,03-1-03480,-10.438,-103.162,
34,17-001535,03-1-03479,-10.446,-103.233,
35,17-000028,03-1-03481,-10.697,-103.412,4
36,17-002437,03-1-03485,-10.826,-103.823,
37,17-005669,03-4-04191,-10.013,-103.649,
38,17-001318,03-1-03484,-10.071,-103.707,
39,17-003763,03-1-03483,-10.08,-103.575,
40,17-004351,03-4-04323,-10.232,-103.53,
41,17-001998,03-4-04324,-10.401,-103.501,
42,17-004897,03-1-03480,-10.438,-103.162,
43,17-001535,03-1-03479,-10.446,-103.233,
44,17-000028,03-1-03481,-10.697,-103.412,4
45,17-002437,03-1-03485,-10.826,-103.823,
46,17-005669,03-4-04191,-10.013,-103.649,
47,17-001318,03-1-03484,-10.071,-103.707,
48,17-003763,03-1-03483,-10.08,-103.575,
49,17-004351,03-4-04323,-10.232,-103.53,
50,17-001998,03-4-04324,-10.401,-103.501,
51,17-004897,03-1-03480,-10.438,-103.162,
52,17-001535,03-1-03479,-10.446,-103.233,
53,17-000028,03-1-03481,-10.697,-103.412,4
54,17-002437,03-1-03485,-10.826,-103.823,
55,17-005669,03-4-04191,-10.013,-103.649,
56,17-001318,03-1-03484,-10.071,-103.707,
57,17-003763,03-1-03483,-10.08,-103.575,
58,17-004351,03-4-04323,-10.232,-103.53,
59,17-001998,03-4-04324,-10.401,-103.501,
60,17-004897,03-1-03480,-10.438,-103.162,
61,17-001535,03-1-03479,-10.446,-103.233,
62,17-000028,03-1-03481,-10.697,-103.412,4
63,17-002437,03-1-03485,-10.826,-103.823,
64,17-003242,03-1-03495,-10.239,-107.893,
65,17-000615,03-1-03494,-10.474,-107.161,4
66,17-001166,03-1-03496,-10.679,-107.994,
67,17-003242,03-1-03495,-10.239,-107.893,
68,17-000615,03-1-03494,-10.474,-107.161,4
69,17-001166,03-1-03496,-10.679,-107.994,
70,17-003242,03-1-03495,-10.239,-107.893,
71,17-000615,03-1-03494,-10.474,-107.161,4
72,17-001166,03-1-03496,-10.679,-107.994,
73,17-003242,03-1-03495,-10.239,-107.893,
74,17-000615,03-1-03494,-10.474,-107.161,4
75,17-001166,03-1-03496,-10.679,-107.994,
76,17-005624,03-4-04162,-10.001,-109.857,
77,17-000350,03-1-03390,-10.006,-109.376,3
78,17-001616,03-1-03515,-10.25,-109.969,
79,17-001399,03-1-03504,-10.496,-109.121,
80,17-001472,03-1-03507,-10.501,-109.239,
81,17-001045,03-1-03506,-10.559,-109.149,
82,17-003953,03-1-03505,-10.603,-109.152,
83,17-005624,03-4-04162,-10.001,-109.857,
84,17-000350,03-1-03390,-10.006,-109.376,3
85,17-001616,03-1-03515,-10.25,-109.969,
86,17-001399,03-1-03504,-10.496,-109.121,
87,17-001472,03-1-03507,-10.501,-109.239,
88,17-001045,03-1-03506,-10.559,-109.149,
89,17-003953,03-1-03505,-10.603,-109.152,
90,17-005624,03-4-04162,-10.001,-109.857,
91,17-000350,03-1-03390,-10.006,-109.376,3
92,17-001616,03-1-03515,-10.25,-109.969,
93,17-001399,03-1-03504,-10.496,-109.121,
94,17-001472,03-1-03507,-10.501,-109.239,
95,17-001045,03-1-03506,-10.559,-109.149,
96,17-003953,03-1-03505,-10.603,-109.152,
97,17-005624,03-4-04162,-10.001,-109.857,
98,17-000350,03-1-03390,-10.006,-109.376,3
99,17-001616,03-1-03515,-10.25,-109.969,
100,17-001399,03-1-03504,-10.496,-109.121,
101,17-001472,03-1-03507,-10.501,-109.239,
102,17-001045,03-1-03506,-10.559,-109.149,
103,17-003953,03-1-03505,-10.603,-109.152,
104,17-000468,03-1-03513,-10.255,-110.801,4
105,17-002956,03-1-03511,-10.344,-110.306,
106,17-001889,03-1-03510,-10.439,-110.137,
107,17-000223,03-1-03514,-10.661,-110.192,3
108,17-000354,03-1-03517,-10.779,-110.819,3
109,17-001929,03-1-03512,-10.785,-110.738,
110,17-002108,03-1-03518,-10.962,-110.473,
111,17-000468,03-1-03513,-10.255,-110.801,4
112,17-002956,03-1-03511,-10.344,-110.306,
113,17-001889,03-1-03510,-10.439,-110.137,
114,17-000223,03-1-03514,-10.661,-110.192,3
115,17-000354,03-1-03517,-10.779,-110.819,3
116,17-001929,03-1-03512,-10.785,-110.738,
117,17-002108,03-1-03518,-10.962,-110.473,
118,17-000468,03-1-03513,-10.255,-110.801,4
119,17-002956,03-1-03511,-10.344,-110.306,
120,17-001889,03-1-03510,-10.439,-110.137,
121,17-000223,03-1-03514,-10.661,-110.192,3
122,17-000354,03-1-03517,-10.779,-110.819,3
123,17-001929,03-1-03512,-10.785,-110.738,
124,17-002108,03-1-03518,-10.962,-110.473,
125,17-000468,03-1-03513,-10.255,-110.801,4
126,17-002956,03-1-03511,-10.344,-110.306,
127,17-001889,03-1-03510,-10.439,-110.137,
128,17-000223,03-1-03514,-10.661,-110.192,3
129,17-000354,03-1-03517,-10.779,-110.819,3
130,17-001929,03-1-03512,-10.785,-110.738,
131,17-002108,03-1-03518,-10.962,-110.473,
132,17-000870,03-1-03379,-10.047,-117.899,
133,17-003407,03-4-04377,-10.368,-117.973,
134,17-000427,03-1-03528,-10.778,-117.465,3
135,17-000870,03-1-03379,-10.047,-117.899,
136,17-003407,03-4-04377,-10.368,-117.973,
137,17-000427,03-1-03528,-10.778,-117.465,3
138,17-000870,03-1-03379,-10.047,-117.899,
139,17-003407,03-4-04377,-10.368,-117.973,
140,17-000427,03-1-03528,-10.778,-117.465,3
141,17-000870,03-1-03379,-10.047,-117.899,
142,17-003407,03-4-04377,-10.368,-117.973,
143,17-000427,03-1-03528,-10.778,-117.465,3
144,17-004754,03-1-03529,-10.216,-118.145,
145,17-004754,03-1-03529,-10.216,-118.145,
146,17-004754,03-1-03529,-10.216,-118.145,
147,17-004754,03-1-03529,-10.216,-118.145,
148,17-002285,03-1-03531,-10.188,-120.045,
149,17-004421,03-4-05013,-10.984,-120.911,
150,17-002285,03-1-03531,-10.188,-120.045,
151,17-004421,03-4-05013,-10.984,-120.911,
152,17-002285,03-1-03531,-10.188,-120.045,
153,17-004421,03-4-05013,-10.984,-120.911,
154,17-002285,03-1-03531,-10.188,-120.045,
155,17-004421,03-4-05013,-10.984,-120.911,
156,17-004928,03-4-04381,-10.427,-121.794,
157,17-002765,03-4-05011,-10.867,-121.38,
158,17-004928,03-4-04381,-10.427,-121.794,
159,17-002765,03-4-05011,-10.867,-121.38,
160,17-004928,03-4-04381,-10.427,-121.794,
161,17-002765,03-4-05011,-10.867,-121.38,
162,17-004928,03-4-04381,-10.427,-121.794,
163,17-002765,03-4-05011,-10.867,-121.38,
164,17-004546,03-1-03533,-10.962,-123.003,
165,17-004546,03-1-03533,-10.962,-123.003,
166,17-004546,03-1-03533,-10.962,-123.003,
167,17-004546,03-1-03533,-10.962,-123.003,
168,17-002795,03-1-03534,-10.659,-126.216,
169,17-004387,03-4-04382,-10.69,-126.181,
170,17-000242,03-1-03536,-10.79,-126.79,4
171,17-002795,03-1-03534,-10.659,-126.216,
172,17-004387,03-4-04382,-10.69,-126.181,
173,17-000242,03-1-03536,-10.79,-126.79,4
174,17-002795,03-1-03534,-10.659,-126.216,
175,17-004387,03-4-04382,-10.69,-126.181,
176,17-000242,03-1-03536,-10.79,-126.79,4
177,17-002795,03-1-03534,-10.659,-126.216,
178,17-004387,03-4-04382,-10.69,-126.181,
179,17-000242,03-1-03536,-10.79,-126.79,4
180,17-003099,03-1-03538,-10.095,-127.904,
181,17-001267,03-1-03535,-10.621,-127.219,
182,17-003099,03-1-03538,-10.095,-127.904,
183,17-001267,03-1-03535,-10.621,-127.219,
184,17-003099,03-1-03538,-10.095,-127.904,
185,17-001267,03-1-03535,-10.621,-127.219,
186,17-003099,03-1-03538,-10.095,-127.904,
187,17-001267,03-1-03535,-10.621,-127.219,
188,17-001227,03-1-03439,-10.006,-90.918,
189,17-004076,03-4-04242,-10.08,-90.725,
190,17-003604,03-4-04243,-10.395,-90.081,
191,17-003039,03-1-03440,-10.408,-90.805,
192,17-001150,03-1-03441,-10.548,-90.66,
193,17-002151,03-4-04246,-10.601,-90.934,
194,17-001227,03-1-03439,-10.006,-90.918,
195,17-004076,03-4-04242,-10.08,-90.725,
196,17-003604,03-4-04243,-10.395,-90.081,
197,17-003039,03-1-03440,-10.408,-90.805,
198,17-001150,03-1-03441,-10.548,-90.66,
199,17-002151,03-4-04246,-10.601,-90.934,
200,17-001227,03-1-03439,-10.006,-90.918,
201,17-004076,03-4-04242,-10.08,-90.725,
202,17-003604,03-4-04243,-10.395,-90.081,
203,17-003039,03-1-03440,-10.408,-90.805,
204,17-001150,03-1-03441,-10.548,-90.66,
205,17-002151,03-4-04246,-10.601,-90.934,
206,17-001227,03-1-03439,-10.006,-90.918,
207,17-004076,03-4-04242,-10.08,-90.725,
208,17-003604,03-4-04243,-10.395,-90.081,
209,17-003039,03-1-03440,-10.408,-90.805,
210,17-001150,03-1-03441,-10.548,-90.66,
211,17-002151,03-4-04246,-10.601,-90.934,
212,17-001598,03-4-04236,-10.054,-91.941,
213,17-004724,03-4-04247,-10.298,-91.784,
214,17-001598,03-4-04236,-10.054,-91.941,
215,17-004724,03-4-04247,-10.298,-91.784,
216,17-001598,03-4-04236,-10.054,-91.941,
217,17-004724,03-4-04247,-10.298,-91.784,
218,17-001598,03-4-04236,-10.054,-91.941,
219,17-004724,03-4-04247,-10.298,-91.784,
220,17-001540,03-4-04234,-10.11,-92.739,
221,17-003539,03-4-04235,-10.119,-92.261,
222,17-003437,03-4-04250,-10.193,-92.164,
223,17-002350,03-1-03444,-10.424,-92.498,
224,17-000709,03-4-04252,-10.775,-92.693,
225,17-001083,03-4-30637,-10.864,-92.505,
226,17-003797,03-4-05113,-10.978,-92.447,
227,17-001540,03-4-04234,-10.11,-92.739,
228,17-003539,03-4-04235,-10.119,-92.261,
229,17-003437,03-4-04250,-10.193,-92.164,
230,17-002350,03-1-03444,-10.424,-92.498,
231,17-000709,03-4-04252,-10.775,-92.693,
232,17-001083,03-4-30637,-10.864,-92.505,
233,17-003797,03-4-05113,-10.978,-92.447,
234,17-001540,03-4-04234,-10.11,-92.739,
235,17-003539,03-4-04235,-10.119,-92.261,
236,17-003437,03-4-04250,-10.193,-92.164,
237,17-002350,03-1-03444,-10.424,-92.498,
238,17-000709,03-4-04252,-10.775,-92.693,
239,17-001083,03-4-30637,-10.864,-92.505,
240,17-003797,03-4-05113,-10.978,-92.447,
241,17-001540,03-4-04234,-10.11,-92.739,
242,17-003539,03-4-04235,-10.119,-92.261,
243,17-003437,03-4-04250,-10.193,-92.164,
244,17-002350,03-1-03444,-10.424,-92.498,
245,17-000709,03-4-04252,-10.775,-92.693,
246,17-001083,03-4-30637,-10.864,-92.505,
247,17-003797,03-4-05113,-10.978,-92.447,
248,17-002295,03-1-03451,-10.149,-96.03,
249,17-000783,03-1-03454,-10.553,-96.645,4
250,17-001157,03-1-03452,-10.595,-96.372,
251,17-001814,03-1-03453,-10.87,-96.488,
252,17-002295,03-1-03451,-10.149,-96.03,
253,17-000783,03-1-03454,-10.553,-96.645,4
254,17-001157,03-1-03452,-10.595,-96.372,
255,17-001814,03-1-03453,-10.87,-96.488,
256,17-002295,03-1-03451,-10.149,-96.03,
257,17-000783,03-1-03454,-10.553,-96.645,4
258,17-001157,03-1-03452,-10.595,-96.372,
259,17-001814,03-1-03453,-10.87,-96.488,
260,17-002295,03-1-03451,-10.149,-96.03,
261,17-000783,03-1-03454,-10.553,-96.645,4
262,17-001157,03-1-03452,-10.595,-96.372,
263,17-001814,03-1-03453,-10.87,-96.488,
264,17-003853,03-4-04277,-10.421,-98.141,
265,17-002290,03-1-03462,-10.435,-98.039,
266,17-000655,03-1-03463,-10.699,-98.08,3
267,17-003014,03-1-03460,-10.861,-98.007,
268,17-003853,03-4-04277,-10.421,-98.141,
269,17-002290,03-1-03462,-10.435,-98.039,
270,17-000655,03-1-03463,-10.699,-98.08,3
271,17-003014,03-1-03460,-10.861,-98.007,
272,17-003853,03-4-04277,-10.421,-98.141,
273,17-002290,03-1-03462,-10.435,-98.039,
274,17-000655,03-1-03463,-10.699,-98.08,3
275,17-003014,03-1-03460,-10.861,-98.007,
276,17-003853,03-4-04277,-10.421,-98.141,
277,17-002290,03-1-03462,-10.435,-98.039,
278,17-000655,03-1-03463,-10.699,-98.08,3
279,17-003014,03-1-03460,-10.861,-98.007,
280,23-012323,15-1-09048,-10.045,135.715,
281,23-017424,15-4-05878,-10.124,135.607,
282,23-012573,15-1-09057,-10.146,135.945,
283,23-013717,15-1-09055,-10.158,135.118,
284,23-005122,15-1-09046,-10.172,135.828,
285,23-011159,15-1-09066,-10.196,135.045,
286,23-003983,15-1-09053,-10.22,135.131,3
287,23-015695,15-1-09051,-10.229,135.449,
288,23-015801,15-1-09052,-10.245,135.173,
289,23-006159,15-1-09044,-10.265,135.74,
290,23-003899,15-4-05879,-10.254,135.64,
291,23-005003,15-4-27159,-10.279,135.136,
292,23-005590,15-1-09045,-10.28,135.748,
293,23-005258,15-1-09050,-10.301,135.545,
294,23-005639,15-4-27158,-10.305,135.14,
295,23-015276,15-1-09056,-10.324,135.248,
296,23-015690,15-4-06257,-10.449,135.535,
297,23-009660,15-1-09060,-10.473,135.408,
298,23-017269,15-1-09059,-10.483,135.571,
299,23-011175,15-1-09058,-10.57,135.636,
300,23-011548,15-1-09037,-10.772,135.751,
301,23-008738,15-1-09061,-10.783,135.451,
302,23-012323,15-1-09048,-10.045,135.715,
303,23-017424,15-4-05878,-10.124,135.607,
304,23-012573,15-1-09057,-10.146,135.945,
305,23-013717,15-1-09055,-10.158,135.118,
306,23-005122,15-1-09046,-10.172,135.828,
307,23-011159,15-1-09066,-10.196,135.045,
308,23-003983,15-1-09053,-10.22,135.131,3
309,23-015695,15-1-09051,-10.229,135.449,
310,23-015801,15-1-09052,-10.245,135.173,
311,23-006159,15-1-09044,-10.265,135.74,
312,23-003899,15-4-05879,-10.254,135.64,
313,23-005003,15-4-27159,-10.279,135.136,
314,23-005590,15-1-09045,-10.28,135.748,
315,23-005258,15-1-09050,-10.301,135.545,
316,23-005639,15-4-27158,-10.305,135.14,
317,23-015276,15-1-09056,-10.324,135.248,
318,23-015690,15-4-06257,-10.449,135.535,
319,23-009660,15-1-09060,-10.473,135.408,
320,23-017269,15-1-09059,-10.483,135.571,
321,23-011175,15-1-09058,-10.57,135.636,
322,23-011548,15-1-09037,-10.772,135.751,
323,23-008738,15-1-09061,-10.783,135.451,
324,23-012323,15-1-09048,-10.045,135.715,
325,23-017424,15-4-05878,-10.124,135.607,
326,23-012573,15-1-09057,-10.146,135.945,
327,23-013717,15-1-09055,-10.158,135.118,
328,23-005122,15-1-09046,-10.172,135.828,
329,23-011159,15-1-09066,-10.196,135.045,
330,23-003983,15-1-09053,-10.22,135.131,3
331,23-015695,15-1-09051,-10.229,135.449,
332,23-015801,15-1-09052,-10.245,135.173,
333,23-006159,15-1-09044,-10.265,135.74,
334,23-003899,15-4-05879,-10.254,135.64,
335,23-005003,15-4-27159,-10.279,135.136,
336,23-005590,15-1-09045,-10.28,135.748,
337,23-005258,15-1-09050,-10.301,135.545,
338,23-005639,15-4-27158,-10.305,135.14,
339,23-015276,15-1-09056,-10.324,135.248,
340,23-015690,15-4-06257,-10.449,135.535,
341,23-009660,15-1-09060,-10.473,135.408,
342,23-017269,15-1-09059,-10.483,135.571,
343,23-011175,15-1-09058,-10.57,135.636,
344,23-011548,15-1-09037,-10.772,135.751,
345,23-008738,15-1-09061,-10.783,135.451,
346,23-012323,15-1-09048,-10.045,135.715,
347,23-017424,15-4-05878,-10.124,135.607,
348,23-012573,15-1-09057,-10.146,135.945,
349,23-013717,15-1-09055,-10.158,135.118,
350,23-005122,15-1-09046,-10.172,135.828,
351,23-011159,15-1-09066,-10.196,135.045,
352,23-003983,15-1-09053,-10.22,135.131,3
353,23-015695,15-1-09051,-10.229,135.449,
354,23-015801,15-1-09052,-10.245,135.173,
355,23-006159,15-1-09044,-10.265,135.74,
356,23-003899,15-4-05879,-10.254,135.64,
357,23-005003,15-4-27159,-10.279,135.136,
358,23-005590,15-1-09045,-10.28,135.748,
359,23-005258,15-1-09050,-10.301,135.545,
360,23-005639,15-4-27158,-10.305,135.14,
361,23-015276,15-1-09056,-10.324,135.248,
362,23-015690,15-4-06257,-10.449,135.535,
363,23-009660,15-1-09060,-10.473,135.408,
364,23-017269,15-1-09059,-10.483,135.571,
365,23-011175,15-1-09058,-10.57,135.636,
366,23-011548,15-1-09037,-10.772,135.751,
367,23-008738,15-1-09061,-10.783,135.451,
368,23-004643,15-1-07785,-10.099,136.921,
369,23-013666,15-4-05876,-10.107,136.257,
370,23-003886,15-1-07788,-10.133,136.951,3
371,23-000179,15-1-07789,-10.029,136.707,2
372,23-003654,15-1-07790,-10.184,136.38,3
373,23-006343,15-1-07786,-10.228,136.953,
374,23-001751,,-10.35,136.426,#N/A
375,23-009680,15-1-09040,-10.402,136.157,
376,23-000072,,-10.818,136.403,#N/A
377,23-011088,15-1-09017,-10.722,136.98,
378,23-006869,15-1-09025,-10.761,136.676,
379,23-016145,15-1-09027,-10.828,136.409,
380,23-015865,15-1-09026,-10.878,136.645,
381,23-005698,15-1-09028,-10.883,136.039,
382,23-011992,15-1-09029,-10.975,136.273,
383,23-004643,15-1-07785,-10.099,136.921,
384,23-013666,15-4-05876,-10.107,136.257,
385,23-003886,15-1-07788,-10.133,136.951,3
386,23-000179,15-1-07789,-10.029,136.707,2
387,23-003654,15-1-07790,-10.184,136.38,3
388,23-006343,15-1-07786,-10.228,136.953,
389,23-001751,,-10.35,136.426,#N/A
390,23-009680,15-1-09040,-10.402,136.157,
391,23-000072,,-10.818,136.403,#N/A
392,23-011088,15-1-09017,-10.722,136.98,
393,23-006869,15-1-09025,-10.761,136.676,
394,23-016145,15-1-09027,-10.828,136.409,
395,23-015865,15-1-09026,-10.878,136.645,
396,23-005698,15-1-09028,-10.883,136.039,
397,23-011992,15-1-09029,-10.975,136.273,
398,23-004643,15-1-07785,-10.099,136.921,
399,23-013666,15-4-05876,-10.107,136.257,
400,23-003886,15-1-07788,-10.133,136.951,3
401,23-000179,15-1-07789,-10.029,136.707,2
402,23-003654,15-1-07790,-10.184,136.38,3
403,23-006343,15-1-07786,-10.228,136.953,
404,23-001751,,-10.35,136.426,#N/A
405,23-009680,15-1-09040,-10.402,136.157,
406,23-000072,,-10.818,136.403,#N/A
407,23-011088,15-1-09017,-10.722,136.98,
408,23-006869,15-1-09025,-10.761,136.676,
409,23-016145,15-1-09027,-10.828,136.409,
410,23-015865,15-1-09026,-10.878,136.645,
411,23-005698,15-1-09028,-10.883,136.039,
412,23-011992,15-1-09029,-10.975,136.273,
413,23-004643,15-1-07785,-10.099,136.921,
414,23-013666,15-4-05876,-10.107,136.257,
415,23-003886,15-1-07788,-10.133,136.951,3
416,23-000179,15-1-07789,-10.029,136.707,2
417,23-003654,15-1-07790,-10.184,136.38,3
418,23-006343,15-1-07786,-10.228,136.953,
419,23-001751,,-10.35,136.426,#N/A
420,23-009680,15-1-09040,-10.402,136.157,
421,23-000072,,-10.818,136.403,#N/A
422,23-011088,15-1-09017,-10.722,136.98,
423,23-006869,15-1-09025,-10.761,136.676,
424,23-016145,15-1-09027,-10.828,136.409,
425,23-015865,15-1-09026,-10.878,136.645,
426,23-005698,15-1-09028,-10.883,136.039,
427,23-011992,15-1-09029,-10.975,136.273,
428,23-011402,15-4-27147,-10.031,137.441,
429,23-007480,15-4-05872,-10.077,137.492,
430,23-014331,15-1-09018,-10.119,137.776,
431,23-005749,15-4-27369,-10.124,137.495,
432,23-001961,15-4-05866,-10.129,137.978,
433,23-006908,15-4-27137,-10.213,137.053,
434,23-005046,15-1-07787,-10.236,137.121,
435,23-014804,15-1-09019,-10.237,137.606,
436,23-015852,15-1-09020,-10.332,137.313,
437,23-002764,15-4-27134,-10.393,137.473,
438,23-002650,15-4-06261,-10.465,137.506,
439,23-004703,15-1-09022,-10.515,137.189,
440,23-013365,15-1-08997,-10.737,137.996,
441,23-002202,15-1-09014,-10.798,137.095,3
442,23-005866,15-1-09013,-10.87,137.15,
443,23-000349,15-1-09016,-10.956,137.466,3
444,23-010675,15-1-09012,-10.931,137.056,
445,23-011402,15-4-27147,-10.031,137.441,
446,23-007480,15-4-05872,-10.077,137.492,
447,23-014331,15-1-09018,-10.119,137.776,
448,23-005749,15-4-27369,-10.124,137.495,
449,23-001961,15-4-05866,-10.129,137.978,
450,23-006908,15-4-27137,-10.213,137.053,
451,23-005046,15-1-07787,-10.236,137.121,
452,23-014804,15-1-09019,-10.237,137.606,
453,23-015852,15-1-09020,-10.332,137.313,
454,23-002764,15-4-27134,-10.393,137.473,
455,23-002650,15-4-06261,-10.465,137.506,
456,23-004703,15-1-09022,-10.515,137.189,
457,23-013365,15-1-08997,-10.737,137.996,
458,23-002202,15-1-09014,-10.798,137.095,3
459,23-005866,15-1-09013,-10.87,137.15,
460,23-000349,15-1-09016,-10.956,137.466,3
461,23-010675,15-1-09012,-10.931,137.056,
462,23-011402,15-4-27147,-10.031,137.441,
463,23-007480,15-4-05872,-10.077,137.492,
464,23-014331,15-1-09018,-10.119,137.776,
465,23-005749,15-4-27369,-10.124,137.495,
466,23-001961,15-4-05866,-10.129,137.978,
467,23-006908,15-4-27137,-10.213,137.053,
468,23-005046,15-1-07787,-10.236,137.121,
469,23-014804,15-1-09019,-10.237,137.606,
470,23-015852,15-1-09020,-10.332,137.313,
471,23-002764,15-4-27134,-10.393,137.473,
472,23-002650,15-4-06261,-10.465,137.506,
473,23-004703,15-1-09022,-10.515,137.189,
474,23-013365,15-1-08997,-10.737,137.996,
475,23-002202,15-1-09014,-10.798,137.095,3
476,23-005866,15-1-09013,-10.87,137.15,
477,23-000349,15-1-09016,-10.956,137.466,3
478,23-010675,15-1-09012,-10.931,137.056,
479,23-011402,15-4-27147,-10.031,137.441,
480,23-007480,15-4-05872,-10.077,137.492,
481,23-014331,15-1-09018,-10.119,137.776,
482,23-005749,15-4-27369,-10.124,137.495,
483,23-001961,15-4-05866,-10.129,137.978,
484,23-006908,15-4-27137,-10.213,137.053,
485,23-005046,15-1-07787,-10.236,137.121,
486,23-014804,15-1-09019,-10.237,137.606,
487,23-015852,15-1-09020,-10.332,137.313,
488,23-002764,15-4-27134,-10.393,137.473,
489,23-002650,15-4-06261,-10.465,137.506,
490,23-004703,15-1-09022,-10.515,137.189,
491,23-013365,15-1-08997,-10.737,137.996,
492,23-002202,15-1-09014,-10.798,137.095,3
493,23-005866,15-1-09013,-10.87,137.15,
494,23-000349,15-1-09016,-10.956,137.466,3
495,23-010675,15-1-09012,-10.931,137.056,
496,23-004553,15-1-09004,-10.068,138.834,
497,23-007867,15-1-09005,-10.178,138.435,
498,23-001989,15-1-08983,-10.437,138.927,3
499,23-016240,15-4-06264,-10.458,138.242,
500,23-016449,15-1-08996,-10.62,138.472,
501,23-006294,15-1-08984,-10.64,138.978,
502,23-004863,15-1-08995,-10.715,138.571,
503,23-006805,15-1-08994,-10.765,138.767,
504,23-006424,15-1-08988,-10.78,138.887,
505,23-007742,15-1-08989,-10.928,138.908,
506,23-004553,15-1-09004,-10.068,138.834,
507,23-007867,15-1-09005,-10.178,138.435,
508,23-001989,15-1-08983,-10.437,138.927,3
509,23-016240,15-4-06264,-10.458,138.242,
510,23-016449,15-1-08996,-10.62,138.472,
511,23-006294,15-1-08984,-10.64,138.978,
512,23-004863,15-1-08995,-10.715,138.571,
513,23-006805,15-1-08994,-10.765,138.767,
514,23-006424,15-1-08988,-10.78,138.887,
515,23-007742,15-1-08989,-10.928,138.908,
516,23-004553,15-1-09004,-10.068,138.834,
517,23-007867,15-1-09005,-10.178,138.435,
518,23-001989,15-1-08983,-10.437,138.927,3
519,23-016240,15-4-06264,-10.458,138.242,
520,23-016449,15-1-08996,-10.62,138.472,
521,23-006294,15-1-08984,-10.64,138.978,
522,23-004863,15-1-08995,-10.715,138.571,
523,23-006805,15-1-08994,-10.765,138.767,
524,23-006424,15-1-08988,-10.78,138.887,
525,23-007742,15-1-08989,-10.928,138.908,
526,23-004553,15-1-09004,-10.068,138.834,
527,23-007867,15-1-09005,-10.178,138.435,
528,23-001989,15-1-08983,-10.437,138.927,3
529,23-016240,15-4-06264,-10.458,138.242,
530,23-016449,15-1-08996,-10.62,138.472,
531,23-006294,15-1-08984,-10.64,138.978,
532,23-004863,15-1-08995,-10.715,138.571,
533,23-006805,15-1-08994,-10.765,138.767,
534,23-006424,15-1-08988,-10.78,138.887,
535,23-007742,15-1-08989,-10.928,138.908,
536,23-008910,15-4-05863,-10.047,139.471,
537,23-017350,15-1-08981,-10.076,139.512,
538,23-014556,15-1-08980,-10.088,139.741,
539,23-016529,15-1-08982,-10.23,139.221,
540,23-016800,15-1-08979,-10.271,139.639,
541,23-012649,15-1-08976,-10.457,139.888,
542,23-003038,15-1-08975,-10.538,139.98,4
543,23-012683,15-1-08978,-10.542,139.406,
544,23-010115,15-1-08977,-10.594,139.715,
545,23-016040,15-1-08985,-10.674,139.186,
546,23-012551,15-4-06269,-10.712,139.106,
547,23-013872,15-1-08986,-10.774,139.126,
548,23-006259,15-1-08992,-10.848,139.342,
549,23-002648,15-1-08993,-10.884,139.321,3
550,23-005388,15-1-08991,-10.935,139.413,
551,23-008910,15-4-05863,-10.047,139.471,
552,23-017350,15-1-08981,-10.076,139.512,
553,23-014556,15-1-08980,-10.088,139.741,
554,23-016529,15-1-08982,-10.23,139.221,
555,23-016800,15-1-08979,-10.271,139.639,
556,23-012649,15-1-08976,-10.457,139.888,
557,23-003038,15-1-08975,-10.538,139.98,4
558,23-012683,15-1-08978,-10.542,139.406,
559,23-010115,15-1-08977,-10.594,139.715,
560,23-016040,15-1-08985,-10.674,139.186,
561,23-012551,15-4-06269,-10.712,139.106,
562,23-013872,15-1-08986,-10.774,139.126,
563,23-006259,15-1-08992,-10.848,139.342,
564,23-002648,15-1-08993,-10.884,139.321,3
565,23-005388,15-1-08991,-10.935,139.413,
566,23-008910,15-4-05863,-10.047,139.471,
567,23-017350,15-1-08981,-10.076,139.512,
